id,region,month,year,kwh,bill_amount,household_size,submitter_name,created_at
573,Sud-Ouest,2,2025,20.0,1000.0,7,Julien Girard,2025-08-11 13:46:30.414591
574,Centre,3,2025,246.87,16313.0,8,Isabelle Lefevre,2025-06-06 13:46:30.414591
575,Sud-Ouest,9,2025,20.0,1000.0,9,Thomas Dufour,2026-03-02 13:46:30.414591
576,Extrême-Nord,3,2026,20.0,1000.0,10,Marie Martin,2025-06-13 13:46:30.414591
577,Adamaoua,12,2024,92.23,4611.0,5,Isabelle Lefevre,2025-10-27 13:46:30.414591
578,Littoral,12,2025,77.98,3899.0,2,Catherine Moreau,2025-05-05 13:46:30.414591
579,Sud,1,2025,20.0,1000.0,1,Nicolas Garnier,2025-08-10 13:46:30.414591
580,Nord,9,2025,84.89,4245.0,7,Emma Mercier,2026-04-05 13:46:30.414591
581,Ouest,9,2026,142.09,8035.0,5,Thomas Dufour,2025-08-21 13:46:30.414591
582,Nord-Ouest,6,2024,30.28,1514.0,3,Nicolas Garnier,2025-05-30 13:46:30.414591
583,Sud-Ouest,9,2025,143.04,8110.0,7,Claude Rousseau,2025-09-21 13:46:30.414591
584,Sud-Ouest,8,2026,37.51,1876.0,1,Marc Leduc,2026-04-01 13:46:30.414591
585,Extrême-Nord,6,2026,51.71,2585.0,5,Anonyme,2026-01-21 13:46:30.414591
586,Littoral,5,2026,53.39,2670.0,7,Isabelle Lefevre,2025-06-04 13:46:30.414591
587,Sud,3,2024,60.16,3008.0,4,Michel Durand,2025-06-29 13:46:30.414591
588,Sud,1,2024,40.88,2044.0,1,Catherine Moreau,2026-01-04 13:46:30.414591
589,Ouest,6,2026,56.2,2810.0,10,Valerie Blanchard,2025-09-25 13:46:30.414591
590,Est,5,2025,133.93,7390.0,6,Thomas Dufour,2025-08-18 13:46:30.414591
591,Nord-Ouest,11,2024,28.31,1415.0,1,Florence Mathieu,2025-12-08 13:46:30.414591
592,Nord,1,2024,56.65,2832.0,8,Pierre Bernard,2026-02-15 13:46:30.414591
593,Centre,7,2026,82.0,4100.0,3,Isabelle Lefevre,2025-06-21 13:46:30.414591
594,Ouest,11,2025,171.67,10372.0,2,Valerie Blanchard,2025-08-28 13:46:30.414591
595,Est,10,2026,112.57,5703.0,2,Benjamin Leroy,2025-09-11 13:46:30.414591
596,Extrême-Nord,4,2025,63.58,3179.0,4,Michel Durand,2026-04-21 13:46:30.414591
597,Sud-Ouest,2,2024,83.9,4195.0,6,Sophie Garcia,2025-12-12 13:46:30.414591
598,Ouest,2,2024,76.51,3826.0,5,Julien Girard,2025-08-19 13:46:30.414591
599,Sud,9,2024,71.86,3593.0,4,Florence Mathieu,2026-02-13 13:46:30.414591
600,Nord-Ouest,3,2025,64.44,3222.0,1,Florence Mathieu,2025-06-06 13:46:30.414591
601,Est,10,2024,35.77,1789.0,8,Anne Leblanc,2025-11-01 13:46:30.414591
602,Ouest,1,2025,79.71,3986.0,9,Anne Leblanc,2026-02-03 13:46:30.414591
603,Ouest,5,2025,143.23,8125.0,5,Sophie Garcia,2026-01-02 13:46:30.414591
604,Sud,5,2025,61.93,3097.0,6,Valerie Blanchard,2025-07-05 13:46:30.414591
605,Nord,1,2026,35.16,1758.0,10,Michel Durand,2025-12-13 13:46:30.414591
606,Nord,11,2025,82.04,4102.0,10,Emma Mercier,2025-07-05 13:46:30.414591
607,Sud-Ouest,8,2024,107.39,5369.0,5,Valerie Blanchard,2026-03-31 13:46:30.414591
608,Centre,4,2026,129.48,7039.0,8,Benjamin Leroy,2025-06-21 13:46:30.414591
609,Sud-Ouest,11,2026,63.27,3164.0,6,Anonyme,2025-08-12 13:46:30.414591
610,Est,9,2026,102.32,5116.0,2,Catherine Moreau,2025-09-27 13:46:30.414591
611,Littoral,4,2024,125.11,6694.0,5,Thomas Dufour,2026-02-05 13:46:30.414591
612,Nord-Ouest,2,2024,96.65,4833.0,7,Anonyme,2026-03-19 13:46:30.414591
613,Sud-Ouest,8,2026,57.6,2880.0,3,Julien Girard,2026-04-20 13:46:30.414591
614,Littoral,9,2025,226.32,14689.0,2,Sophie Garcia,2025-04-26 13:46:30.414591
615,Littoral,12,2024,111.26,5599.0,3,Emma Mercier,2026-03-16 13:46:30.414591
616,Ouest,2,2024,246.5,16283.0,7,Jean Dupont,2025-07-29 13:46:30.414591
617,Centre,4,2025,54.99,2749.0,1,Marc Leduc,2025-12-01 13:46:30.414591
618,Nord,7,2024,80.82,4041.0,6,Luc Fontaine,2025-11-29 13:46:30.414591
619,Adamaoua,7,2024,105.12,5256.0,1,Catherine Moreau,2025-05-16 13:46:30.414591
620,Extrême-Nord,11,2025,76.33,3817.0,4,Michel Durand,2025-11-23 13:46:30.414591
621,Extrême-Nord,11,2024,21.57,1079.0,10,Michel Durand,2025-11-25 13:46:30.414591
622,Nord-Ouest,10,2024,89.56,4478.0,3,Anonyme,2025-08-14 13:46:30.414591
623,Sud,2,2024,84.98,4249.0,3,Marc Leduc,2025-12-31 13:46:30.414591
624,Sud,10,2025,20.0,1000.0,8,Julien Girard,2025-11-07 13:46:30.414591
625,Centre,12,2026,39.15,1957.0,10,Pierre Bernard,2026-01-20 13:46:30.414591
626,Sud-Ouest,9,2026,83.26,4163.0,10,Jean Dupont,2026-03-15 13:46:30.414591
627,Sud-Ouest,9,2025,92.38,4619.0,7,Pierre Bernard,2026-03-25 13:46:30.414591
628,Extrême-Nord,2,2026,57.62,2881.0,1,Michel Durand,2026-02-08 13:46:30.414591
629,Sud,8,2026,54.52,2726.0,3,Catherine Moreau,2025-06-30 13:46:30.414591
630,Adamaoua,2,2025,96.86,4843.0,6,Pierre Bernard,2025-10-04 13:46:30.414591
631,Adamaoua,4,2024,62.55,3127.0,5,Benjamin Leroy,2025-09-27 13:46:30.414591
632,Nord,2,2024,48.94,2447.0,1,Isabelle Lefevre,2025-10-12 13:46:30.414591
633,Adamaoua,10,2026,174.62,10605.0,2,Jean Dupont,2026-02-16 13:46:30.414591
634,Sud,11,2026,39.04,1952.0,10,Benjamin Leroy,2025-07-06 13:46:30.414591
635,Nord-Ouest,12,2026,76.53,3827.0,9,Benjamin Leroy,2025-08-22 13:46:30.414591
636,Nord-Ouest,1,2024,67.8,3390.0,8,Pierre Bernard,2025-10-07 13:46:30.414591
637,Littoral,7,2025,194.99,12215.0,4,Sophie Garcia,2025-08-03 13:46:30.414591
638,Nord,10,2024,64.22,3211.0,1,Marie Martin,2025-05-13 13:46:30.414591
639,Sud-Ouest,10,2026,109.87,5493.0,1,Julien Girard,2025-09-16 13:46:30.414591
640,Extrême-Nord,3,2026,49.64,2482.0,8,Julien Girard,2026-04-06 13:46:30.414591
641,Nord-Ouest,1,2026,30.9,1545.0,3,Anonyme,2026-01-16 13:46:30.414591
642,Extrême-Nord,6,2025,31.22,1561.0,9,Catherine Moreau,2026-04-15 13:46:30.414591
643,Est,8,2025,94.5,4725.0,3,Jean Dupont,2025-09-29 13:46:30.414591
644,Littoral,10,2026,240.14,15781.0,7,Anne Leblanc,2026-04-15 13:46:30.414591
645,Centre,2,2024,88.76,4438.0,5,Anne Leblanc,2025-06-14 13:46:30.414591
646,Centre,11,2025,137.7,7688.0,3,Valerie Blanchard,2025-09-06 13:46:30.414591
647,Sud-Ouest,3,2024,20.0,1000.0,3,Anne Leblanc,2025-06-13 13:46:30.414591
648,Nord,1,2025,72.38,3619.0,7,Sophie Garcia,2025-07-31 13:46:30.414591
649,Nord-Ouest,7,2025,104.44,5222.0,2,Jean Dupont,2026-03-02 13:46:30.414591
650,Sud-Ouest,3,2026,53.92,2696.0,6,Claude Rousseau,2026-02-15 13:46:30.414591
651,Nord,3,2025,24.22,1211.0,4,Sophie Garcia,2026-03-17 13:46:30.414591
652,Littoral,6,2026,223.11,14436.0,8,Florence Mathieu,2026-01-19 13:46:30.414591
653,Adamaoua,10,2024,83.05,4153.0,7,Michel Durand,2025-11-19 13:46:30.414591
654,Ouest,7,2024,95.72,4786.0,4,Nicolas Garnier,2025-12-19 13:46:30.414591
655,Adamaoua,6,2024,73.76,3688.0,10,Catherine Moreau,2025-05-26 13:46:30.414591
656,Nord,7,2025,58.16,2908.0,8,Pierre Bernard,2025-09-11 13:46:30.414591
657,Sud,11,2024,39.82,1991.0,8,Isabelle Lefevre,2025-07-28 13:46:30.414591
658,Centre,4,2026,203.75,12906.0,9,Catherine Moreau,2025-05-10 13:46:30.414591
659,Adamaoua,12,2025,68.26,3413.0,5,Florence Mathieu,2026-03-23 13:46:30.414591
660,Ouest,12,2025,66.38,3319.0,7,Thomas Dufour,2025-08-22 13:46:30.414591
661,Sud,4,2026,62.11,3105.0,10,Stephanie Vincent,2026-04-18 13:46:30.414591
662,Nord,12,2024,45.27,2263.0,8,Stephanie Vincent,2025-12-21 13:46:30.414591
663,Nord,12,2026,49.05,2452.0,8,Emma Mercier,2025-05-25 13:46:30.414591
664,Centre,9,2025,171.11,10328.0,6,Emma Mercier,2025-11-22 13:46:30.414591
665,Sud-Ouest,12,2025,127.08,6849.0,9,Florence Mathieu,2025-10-06 13:46:30.414591
666,Ouest,3,2025,131.07,7165.0,4,Anne Leblanc,2025-11-12 13:46:30.414591
667,Centre,5,2026,207.32,13188.0,8,Pierre Bernard,2025-09-21 13:46:30.414591
668,Extrême-Nord,11,2025,35.23,1762.0,7,Pierre Bernard,2026-04-16 13:46:30.414591
669,Nord,12,2024,77.52,3876.0,6,Claude Rousseau,2026-02-19 13:46:30.414591
670,Sud,2,2026,48.63,2432.0,7,Claude Rousseau,2025-11-23 13:46:30.414591
671,Adamaoua,12,2024,40.61,2030.0,7,Florence Mathieu,2025-09-13 13:46:30.414591
672,Sud-Ouest,7,2025,125.01,6686.0,7,Florence Mathieu,2026-02-02 13:46:30.414591
673,Adamaoua,2,2024,102.25,5113.0,5,Michel Durand,2025-07-31 13:46:30.414591
674,Nord,3,2026,20.0,1000.0,7,Sophie Garcia,2026-02-08 13:46:30.414591
675,Ouest,4,2025,72.4,3620.0,1,Thomas Dufour,2025-09-22 13:46:30.414591
676,Extrême-Nord,5,2025,62.09,3105.0,8,Anne Leblanc,2025-11-08 13:46:30.414591
677,Centre,6,2026,92.62,4631.0,3,Florence Mathieu,2025-08-06 13:46:30.414591
678,Adamaoua,1,2025,55.22,2761.0,2,Marc Leduc,2025-11-04 13:46:30.414591
679,Ouest,9,2025,149.51,8621.0,5,Luc Fontaine,2025-11-16 13:46:30.414591
680,Ouest,1,2024,42.23,2111.0,4,Emma Mercier,2025-06-03 13:46:30.414591
681,Sud-Ouest,10,2024,88.69,4435.0,2,Anonyme,2026-02-01 13:46:30.414591
682,Adamaoua,2,2024,148.61,8550.0,3,Marie Martin,2025-06-03 13:46:30.414591
683,Adamaoua,11,2025,67.03,3351.0,10,Julien Girard,2025-06-28 13:46:30.414591
684,Nord,12,2026,46.49,2324.0,10,Anne Leblanc,2025-12-24 13:46:30.414591
685,Est,4,2025,67.87,3393.0,4,Florence Mathieu,2026-02-11 13:46:30.414591
686,Ouest,6,2025,154.25,8996.0,2,Pierre Bernard,2026-02-07 13:46:30.414591
687,Est,3,2026,110.61,5548.0,10,Stephanie Vincent,2026-03-01 13:46:30.414591
688,Nord,9,2025,55.04,2752.0,9,Michel Durand,2025-10-28 13:46:30.414591
689,Littoral,9,2025,200.08,12617.0,8,Marie Martin,2025-07-20 13:46:30.414591
690,Adamaoua,2,2024,61.45,3073.0,5,Claude Rousseau,2025-10-17 13:46:30.414591
691,Ouest,2,2025,48.09,2404.0,9,Isabelle Lefevre,2025-11-22 13:46:30.414591
692,Sud,6,2025,31.98,1599.0,9,Claude Rousseau,2026-04-16 13:46:30.414591
693,Est,3,2026,63.7,3185.0,7,Marie Martin,2026-04-17 13:46:30.414591
694,Littoral,11,2024,140.66,7922.0,1,Nicolas Garnier,2026-02-09 13:46:30.414591
695,Centre,10,2026,154.49,9015.0,10,Benjamin Leroy,2025-10-21 13:46:30.414591
696,Ouest,6,2025,94.25,4713.0,8,Anne Leblanc,2025-10-24 13:46:30.414591
697,Adamaoua,2,2025,114.62,5865.0,2,Claude Rousseau,2025-12-12 13:46:30.414591
698,Extrême-Nord,6,2024,20.0,1000.0,9,Julien Girard,2025-04-30 13:46:30.414591
699,Nord-Ouest,9,2025,93.97,4699.0,6,Benjamin Leroy,2026-01-06 13:46:30.414591
700,Ouest,7,2024,173.13,10487.0,4,Marc Leduc,2026-04-06 13:46:30.414591
701,Sud-Ouest,5,2026,128.62,6971.0,7,Anonyme,2025-12-28 13:46:30.414591
702,Est,12,2026,117.39,6084.0,4,Anonyme,2025-07-09 13:46:30.414591
703,Littoral,7,2024,175.98,10713.0,3,Catherine Moreau,2026-02-25 13:46:30.414591
704,Centre,3,2024,143.82,8172.0,9,Claude Rousseau,2025-08-27 13:46:30.414591
705,Nord,9,2026,31.25,1563.0,6,Stephanie Vincent,2025-06-23 13:46:30.414591
706,Adamaoua,8,2025,147.87,8492.0,10,Nicolas Garnier,2025-04-27 13:46:30.414591
707,Nord,5,2026,40.15,2008.0,5,Catherine Moreau,2025-08-12 13:46:30.414591
708,Adamaoua,7,2026,74.63,3731.0,10,Thomas Dufour,2025-12-17 13:46:30.414591
709,Adamaoua,9,2024,130.28,7102.0,10,Isabelle Lefevre,2026-04-13 13:46:30.414591
710,Extrême-Nord,10,2026,20.09,1004.0,9,Sophie Garcia,2025-08-30 13:46:30.414591
711,Sud,2,2025,34.25,1713.0,1,Anonyme,2025-12-15 13:46:30.414591
712,Adamaoua,2,2026,20.0,1000.0,7,Benjamin Leroy,2025-07-24 13:46:30.414591
713,Nord,1,2024,50.21,2510.0,5,Luc Fontaine,2025-11-01 13:46:30.414591
714,Sud-Ouest,1,2024,89.84,4492.0,10,Valerie Blanchard,2025-06-27 13:46:30.414591
715,Littoral,3,2024,70.16,3508.0,2,Luc Fontaine,2025-10-20 13:46:30.414591
716,Nord,8,2026,20.0,1000.0,2,Florence Mathieu,2026-03-18 13:46:30.414591
717,Sud,1,2025,102.96,5148.0,9,Emma Mercier,2026-02-10 13:46:30.414591
718,Adamaoua,3,2024,102.28,5114.0,4,Thomas Dufour,2025-12-19 13:46:30.414591
719,Ouest,9,2024,85.31,4266.0,1,Stephanie Vincent,2025-06-26 13:46:30.414591
720,Nord-Ouest,10,2026,68.48,3424.0,10,Michel Durand,2025-12-02 13:46:30.414591
721,Nord,9,2024,58.53,2927.0,3,Marc Leduc,2025-10-12 13:46:30.414591
722,Adamaoua,4,2026,166.8,9987.0,5,Michel Durand,2025-11-19 13:46:30.414591
723,Centre,1,2026,96.59,4829.0,4,Valerie Blanchard,2025-05-02 13:46:30.414591
724,Sud-Ouest,4,2025,54.8,2740.0,4,Florence Mathieu,2026-01-13 13:46:30.414591
725,Adamaoua,1,2026,114.54,5859.0,3,Thomas Dufour,2026-01-21 13:46:30.414591
726,Ouest,12,2026,179.32,10977.0,1,Sophie Garcia,2025-09-18 13:46:30.414591
727,Sud-Ouest,8,2025,67.43,3372.0,8,Stephanie Vincent,2025-09-23 13:46:30.414591
728,Centre,10,2025,152.09,8825.0,5,Thomas Dufour,2026-03-24 13:46:30.414591
729,Centre,5,2025,214.14,13727.0,4,Julien Girard,2025-11-29 13:46:30.414591
730,Sud-Ouest,2,2024,52.5,2625.0,3,Claude Rousseau,2026-03-14 13:46:30.414591
731,Sud,11,2025,59.99,3000.0,2,Luc Fontaine,2025-10-06 13:46:30.414591
732,Extrême-Nord,6,2026,27.54,1377.0,5,Benjamin Leroy,2025-11-12 13:46:30.414591
733,Adamaoua,7,2025,120.04,6294.0,8,Benjamin Leroy,2025-11-16 13:46:30.414591
734,Extrême-Nord,2,2026,58.6,2930.0,10,Florence Mathieu,2025-12-07 13:46:30.414591
735,Sud-Ouest,11,2025,93.2,4660.0,3,Marie Martin,2025-05-14 13:46:30.414591
736,Est,6,2026,70.33,3517.0,9,Michel Durand,2025-09-25 13:46:30.414591
737,Extrême-Nord,2,2024,35.09,1755.0,10,Anne Leblanc,2026-01-03 13:46:30.414591
738,Centre,5,2025,143.93,8180.0,4,Stephanie Vincent,2025-08-01 13:46:30.414591
739,Ouest,1,2024,92.79,4640.0,5,Stephanie Vincent,2026-02-13 13:46:30.414591
740,Centre,9,2024,164.34,9793.0,5,Luc Fontaine,2025-12-05 13:46:30.414591
741,Nord-Ouest,11,2025,98.77,4938.0,10,Julien Girard,2025-06-12 13:46:30.414591
742,Nord,1,2024,83.76,4188.0,3,Emma Mercier,2025-06-30 13:46:30.414591
743,Sud,5,2026,39.18,1959.0,3,Anne Leblanc,2025-11-16 13:46:30.414591
744,Nord,3,2026,82.73,4137.0,1,Thomas Dufour,2025-12-24 13:46:30.414591
745,Sud,10,2026,49.14,2457.0,9,Anonyme,2026-03-20 13:46:30.414591
746,Ouest,1,2024,167.17,10017.0,8,Isabelle Lefevre,2026-02-24 13:46:30.414591
747,Nord-Ouest,5,2024,42.78,2139.0,8,Sophie Garcia,2025-08-14 13:46:30.414591
748,Est,8,2025,20.0,1000.0,4,Emma Mercier,2026-02-14 13:46:30.414591
749,Ouest,3,2026,167.65,10054.0,3,Luc Fontaine,2025-11-18 13:46:30.414591
750,Ouest,2,2025,20.0,1000.0,1,Claude Rousseau,2026-02-08 13:46:30.414591
751,Ouest,5,2026,60.45,3023.0,5,Pierre Bernard,2025-05-24 13:46:30.414591
752,Nord-Ouest,8,2025,39.73,1987.0,2,Emma Mercier,2025-09-12 13:46:30.414591
753,Nord,9,2026,72.27,3614.0,10,Emma Mercier,2025-08-30 13:46:30.414591
754,Est,9,2025,78.4,3920.0,7,Thomas Dufour,2025-07-08 13:46:30.414591
755,Ouest,6,2026,69.27,3464.0,9,Florence Mathieu,2026-02-06 13:46:30.414591
756,Littoral,12,2024,237.78,15595.0,6,Catherine Moreau,2025-06-04 13:46:30.414591
757,Nord-Ouest,12,2024,170.13,10250.0,2,Nicolas Garnier,2026-01-21 13:46:30.414591
758,Centre,3,2024,175.56,10679.0,1,Anonyme,2025-10-08 13:46:30.414591
759,Nord-Ouest,4,2026,67.95,3397.0,7,Jean Dupont,2026-02-03 13:46:30.414591
760,Adamaoua,12,2024,153.53,8939.0,3,Anonyme,2025-08-03 13:46:30.414591
761,Est,9,2025,175.19,10650.0,6,Marc Leduc,2025-12-06 13:46:30.414591
762,Sud-Ouest,9,2026,117.75,6112.0,8,Thomas Dufour,2025-10-02 13:46:30.414591
763,Sud-Ouest,10,2024,69.2,3460.0,3,Florence Mathieu,2026-01-18 13:46:30.414591
764,Littoral,2,2025,203.5,12887.0,10,Nicolas Garnier,2025-12-02 13:46:30.414591
765,Ouest,5,2024,78.95,3948.0,6,Valerie Blanchard,2025-09-15 13:46:30.414591
766,Centre,6,2025,237.82,15598.0,7,Anonyme,2026-01-15 13:46:30.414591
767,Sud,1,2024,61.84,3092.0,9,Julien Girard,2026-01-10 13:46:30.414591
768,Ouest,5,2025,147.7,8478.0,10,Thomas Dufour,2025-09-28 13:46:30.414591
769,Est,8,2026,52.45,2622.0,1,Luc Fontaine,2025-12-02 13:46:30.414591
770,Sud-Ouest,2,2025,125.37,6714.0,5,Anonyme,2026-03-25 13:46:30.414591
771,Adamaoua,7,2025,91.24,4562.0,8,Claude Rousseau,2025-09-17 13:46:30.414591
772,Nord,6,2026,20.0,1000.0,6,Valerie Blanchard,2026-03-01 13:46:30.414591
773,Littoral,3,2024,24.16,1208.0,10,Marc Leduc,2025-05-20 13:46:30.414591
774,Nord,12,2025,72.37,3618.0,2,Emma Mercier,2025-05-26 13:46:30.414591
775,Nord,8,2025,82.66,4133.0,8,Emma Mercier,2025-09-20 13:46:30.414591
776,Sud,5,2024,72.31,3615.0,1,Pierre Bernard,2025-12-24 13:46:30.414591
777,Ouest,2,2025,124.74,6664.0,1,Marc Leduc,2025-10-10 13:46:30.414591
778,Ouest,5,2026,104.84,5242.0,4,Julien Girard,2025-06-27 13:46:30.414591
779,Nord,7,2026,56.93,2847.0,6,Thomas Dufour,2025-07-24 13:46:30.414591
780,Nord-Ouest,2,2024,140.96,7946.0,3,Stephanie Vincent,2025-06-19 13:46:30.414591
781,Ouest,11,2025,116.38,6004.0,8,Benjamin Leroy,2025-08-17 13:46:30.414591
782,Nord,1,2026,61.8,3090.0,7,Jean Dupont,2025-09-29 13:46:30.414591
783,Sud-Ouest,12,2024,184.64,11396.0,1,Emma Mercier,2025-08-04 13:46:30.414591
784,Sud-Ouest,2,2026,83.87,4194.0,4,Julien Girard,2025-10-13 13:46:30.414591
785,Sud-Ouest,3,2024,117.3,6077.0,10,Stephanie Vincent,2025-04-28 13:46:30.414591
786,Nord-Ouest,1,2024,56.97,2848.0,8,Isabelle Lefevre,2025-09-04 13:46:30.414591
787,Ouest,11,2026,143.27,8128.0,4,Anne Leblanc,2025-09-22 13:46:30.414591
788,Littoral,12,2026,50.08,2504.0,1,Jean Dupont,2025-06-18 13:46:30.414591
789,Adamaoua,4,2025,147.01,8424.0,8,Anne Leblanc,2025-10-21 13:46:30.414591
790,Adamaoua,4,2025,76.31,3815.0,2,Florence Mathieu,2026-03-03 13:46:30.414591
791,Extrême-Nord,6,2026,22.51,1126.0,9,Emma Mercier,2026-04-02 13:46:30.414591
792,Littoral,4,2024,60.81,3041.0,10,Stephanie Vincent,2025-05-25 13:46:30.414591
793,Littoral,3,2026,73.23,3661.0,10,Jean Dupont,2025-10-22 13:46:30.414591
794,Nord-Ouest,12,2026,125.32,6711.0,8,Jean Dupont,2026-02-11 13:46:30.414591
795,Sud,11,2024,51.34,2567.0,9,Marie Martin,2025-11-30 13:46:30.414591
796,Littoral,1,2024,105.02,5251.0,5,Anonyme,2025-08-26 13:46:30.414591
797,Sud-Ouest,6,2025,28.43,1422.0,8,Michel Durand,2025-08-28 13:46:30.414591
798,Est,3,2026,162.84,9674.0,8,Thomas Dufour,2026-03-04 13:46:30.414591
799,Nord,2,2026,62.05,3103.0,9,Emma Mercier,2026-02-03 13:46:30.414591
800,Sud-Ouest,8,2026,65.24,3262.0,5,Emma Mercier,2026-03-27 13:46:30.414591
801,Ouest,8,2025,52.32,2616.0,7,Claude Rousseau,2026-04-05 13:46:30.414591
802,Extrême-Nord,2,2024,35.51,1776.0,8,Sophie Garcia,2026-02-18 13:46:30.414591
803,Nord-Ouest,3,2024,91.87,4593.0,10,Michel Durand,2026-04-14 13:46:30.414591
804,Ouest,5,2025,189.06,11746.0,6,Nicolas Garnier,2025-09-04 13:46:30.414591
805,Ouest,6,2025,177.81,10857.0,8,Benjamin Leroy,2025-05-06 13:46:30.414591
806,Nord,11,2026,39.87,1993.0,9,Stephanie Vincent,2025-08-19 13:46:30.414591
807,Nord-Ouest,5,2024,129.59,7048.0,10,Catherine Moreau,2025-08-13 13:46:30.414591
808,Extrême-Nord,2,2024,38.12,1906.0,6,Michel Durand,2026-01-19 13:46:30.414591
809,Sud,5,2026,37.84,1892.0,10,Stephanie Vincent,2026-04-03 13:46:30.414591
810,Littoral,4,2026,196.95,12369.0,5,Julien Girard,2025-06-02 13:46:30.414591
811,Sud-Ouest,10,2026,130.23,7098.0,10,Florence Mathieu,2025-09-10 13:46:30.414591
812,Extrême-Nord,3,2025,44.04,2202.0,4,Julien Girard,2026-01-16 13:46:30.414591
813,Adamaoua,10,2024,140.4,7901.0,3,Pierre Bernard,2026-04-22 13:46:30.414591
814,Sud-Ouest,10,2024,40.36,2018.0,6,Pierre Bernard,2025-12-29 13:46:30.414591
815,Centre,12,2025,146.78,8406.0,1,Emma Mercier,2025-11-17 13:46:30.414591
816,Nord,8,2025,69.03,3451.0,6,Luc Fontaine,2025-08-19 13:46:30.414591
817,Nord-Ouest,5,2024,87.27,4363.0,6,Thomas Dufour,2026-01-31 13:46:30.414591
818,Littoral,1,2025,117.37,6083.0,1,Florence Mathieu,2025-12-25 13:46:30.414591
819,Centre,5,2024,159.21,9387.0,7,Luc Fontaine,2025-08-28 13:46:30.414591
820,Littoral,4,2024,48.06,2403.0,2,Claude Rousseau,2025-05-20 13:46:30.414591
821,Littoral,8,2025,117.71,6109.0,2,Thomas Dufour,2026-03-24 13:46:30.414591
822,Littoral,8,2024,51.5,2575.0,6,Nicolas Garnier,2026-01-01 13:46:30.414591
823,Centre,11,2024,218.88,14102.0,5,Nicolas Garnier,2025-09-08 13:46:30.414591
824,Adamaoua,3,2026,114.98,5893.0,3,Catherine Moreau,2025-06-10 13:46:30.414591
825,Est,10,2025,25.5,1275.0,7,Sophie Garcia,2025-10-16 13:46:30.414591
826,Adamaoua,6,2024,74.44,3722.0,3,Sophie Garcia,2025-10-17 13:46:30.414591
827,Centre,9,2026,56.69,2834.0,2,Anne Leblanc,2025-07-21 13:46:30.414591
828,Littoral,12,2024,131.33,7185.0,5,Luc Fontaine,2025-08-11 13:46:30.414591
829,Nord-Ouest,9,2025,119.29,6234.0,10,Benjamin Leroy,2026-03-17 13:46:30.414591
830,Littoral,9,2024,158.81,9356.0,7,Florence Mathieu,2026-04-21 13:46:30.414591
831,Sud,9,2024,38.43,1922.0,10,Catherine Moreau,2026-03-27 13:46:30.414591
832,Centre,6,2026,116.22,5991.0,7,Valerie Blanchard,2025-09-14 13:46:30.414591
833,Extrême-Nord,1,2024,47.97,2398.0,8,Julien Girard,2025-06-06 13:46:30.414591
834,Centre,7,2025,133.89,7387.0,4,Luc Fontaine,2025-05-24 13:46:30.414591
835,Sud,11,2026,61.91,3095.0,9,Catherine Moreau,2025-07-31 13:46:30.414591
836,Sud,7,2025,63.98,3199.0,6,Catherine Moreau,2025-05-20 13:46:30.414591
837,Nord-Ouest,1,2024,126.7,6819.0,3,Catherine Moreau,2025-07-07 13:46:30.414591
838,Sud-Ouest,2,2024,108.56,5428.0,1,Claude Rousseau,2025-06-19 13:46:30.414591
839,Sud,8,2024,34.36,1718.0,9,Florence Mathieu,2025-08-24 13:46:30.414591
840,Adamaoua,2,2025,116.26,5994.0,9,Marc Leduc,2026-03-30 13:46:30.414591
841,Centre,3,2026,238.05,15616.0,7,Sophie Garcia,2025-09-09 13:46:30.414591
842,Ouest,3,2026,140.56,7914.0,7,Isabelle Lefevre,2026-02-26 13:46:30.414591
843,Nord,11,2024,89.63,4482.0,7,Sophie Garcia,2025-10-13 13:46:30.414591
844,Centre,3,2025,258.69,17247.0,2,Michel Durand,2026-02-07 13:46:30.414591
845,Extrême-Nord,2,2025,20.0,1000.0,4,Julien Girard,2025-07-03 13:46:30.414591
846,Centre,11,2026,77.12,3856.0,8,Catherine Moreau,2026-03-02 13:46:30.414591
847,Sud-Ouest,11,2024,100.89,5044.0,1,Anne Leblanc,2026-04-23 13:46:30.414591
848,Littoral,11,2025,144.15,8198.0,8,Claude Rousseau,2025-09-05 13:46:30.414591
849,Adamaoua,3,2024,102.44,5122.0,5,Emma Mercier,2026-03-01 13:46:30.414591
850,Nord-Ouest,2,2024,81.56,4078.0,8,Valerie Blanchard,2025-06-15 13:46:30.414591
851,Centre,2,2025,112.25,5678.0,10,Julien Girard,2025-09-08 13:46:30.414591
852,Centre,9,2026,164.24,9785.0,2,Anonyme,2025-12-30 13:46:30.414591
853,Ouest,12,2024,168.57,10127.0,2,Sophie Garcia,2025-08-23 13:46:30.414591
854,Nord-Ouest,7,2026,20.0,1000.0,4,Anonyme,2026-01-22 13:46:30.414591
855,Littoral,8,2026,100.98,5049.0,2,Stephanie Vincent,2026-04-13 13:46:30.414591
856,Ouest,5,2025,83.05,4152.0,5,Claude Rousseau,2026-01-10 13:46:30.414591
857,Adamaoua,1,2025,118.95,6207.0,10,Anne Leblanc,2025-08-08 13:46:30.414591
858,Extrême-Nord,6,2024,54.51,2725.0,10,Benjamin Leroy,2025-06-20 13:46:30.414591
859,Sud-Ouest,10,2026,20.0,1000.0,9,Sophie Garcia,2026-04-19 13:46:30.414591
